video,SA
01_4485_1167-2666,0.593542
02_1610_0001_1500,0.448663
20190925_111757_1_1,0.625725
20190925_111757_1_7,0.535334
20190925_124000_1_9,0.380288
20190925_131530_1_1,0.554370
20190925_131530_1_5,0.564311
20190925_134301_1_9,0.201088
20190925_140917_1_8,0.650042
20190925_141417_1_2,0.480914
20190925_141417_1_3,0.423471
20190925_152412_1_2,0.396092
20190925_193610_1_8,0.657205
20190925_222534_1_3,0.655986
20190926_111509_1_3,0.653418
20190926_133516_1_8,0.622787
20190926_141816_1_9,0.601580
20190926_183941_1_1,0.625286
20190926_183941_1_5,0.682273
20190926_200510_1_4,0.696804
36_1,0.684277
6_1,0.465531
DJI_0143_1,0.046954
new2_train,-0.149263
new37_train-new,0.044935
wg2022_ir_011_split_03,0.170879
wg2022_ir_015_split_01,0.161710
wg2022_ir_020_split_05,0.999333
wg2022_ir_024_split_03,0.421478
wg2022_ir_024_split_06,0.481270
wg2022_ir_040_split_05,0.562174
wg2022_ir_045_split_02,-0.109931
wg2022_ir_047_split_04,0.725942
