video,SA
01_4485_1167-2666,0.604391
02_1610_0001_1500,0.467572
20190925_111757_1_1,0.631824
20190925_111757_1_7,0.520558
20190925_124000_1_9,0.295504
20190925_131530_1_1,0.581789
20190925_131530_1_5,0.564329
20190925_134301_1_9,0.266558
20190925_140917_1_8,0.705737
20190925_141417_1_2,0.538441
20190925_141417_1_3,0.420398
20190925_152412_1_2,0.429519
20190925_193610_1_8,0.663442
20190925_222534_1_3,0.750215
20190926_111509_1_3,0.731437
20190926_133516_1_8,0.642911
20190926_141816_1_9,0.636946
20190926_183941_1_1,0.694065
20190926_183941_1_5,0.697326
20190926_200510_1_4,0.728611
36_1,0.689044
6_1,0.405999
DJI_0143_1,-0.092700
new2_train,-0.129203
new37_train-new,0.072883
wg2022_ir_011_split_03,0.636919
wg2022_ir_015_split_01,0.139229
wg2022_ir_020_split_05,1.000000
wg2022_ir_024_split_03,0.427449
wg2022_ir_024_split_06,0.429001
wg2022_ir_040_split_05,0.545552
wg2022_ir_045_split_02,0.048747
wg2022_ir_047_split_04,0.818675
