video,SA
01_4485_1167-2666,0.667484
02_1610_0001_1500,0.490250
20190925_111757_1_1,0.651462
20190925_111757_1_7,0.547591
20190925_124000_1_9,0.426617
20190925_131530_1_1,0.591865
20190925_131530_1_5,0.594741
20190925_134301_1_9,0.261084
20190925_140917_1_8,0.717434
20190925_141417_1_2,0.553791
20190925_141417_1_3,0.523950
20190925_152412_1_2,0.408912
20190925_193610_1_8,0.673736
20190925_222534_1_3,0.747555
20190926_111509_1_3,0.754342
20190926_133516_1_8,0.665979
20190926_141816_1_9,0.651709
20190926_183941_1_1,0.706251
20190926_183941_1_5,0.711443
20190926_200510_1_4,0.779490
36_1,0.656080
6_1,0.480931
DJI_0143_1,0.065632
new2_train,-0.085357
new37_train-new,0.078534
wg2022_ir_011_split_03,0.660093
wg2022_ir_015_split_01,0.157838
wg2022_ir_020_split_05,0.997333
wg2022_ir_024_split_03,0.360833
wg2022_ir_024_split_06,0.537635
wg2022_ir_040_split_05,0.564786
wg2022_ir_045_split_02,-0.062248
wg2022_ir_047_split_04,0.865493
