video,SA
01_4485_1167-2666,0.676532
02_1610_0001_1500,0.438772
20190925_111757_1_1,0.650086
20190925_111757_1_7,0.539774
20190925_124000_1_9,0.285135
20190925_131530_1_1,0.566476
20190925_131530_1_5,0.546187
20190925_134301_1_9,0.262356
20190925_140917_1_8,0.714122
20190925_141417_1_2,0.541359
20190925_141417_1_3,0.530168
20190925_152412_1_2,0.434572
20190925_193610_1_8,0.673486
20190925_222534_1_3,0.738615
20190926_111509_1_3,0.748045
20190926_133516_1_8,0.680024
20190926_141816_1_9,0.630237
20190926_183941_1_1,0.719735
20190926_183941_1_5,0.716398
20190926_200510_1_4,0.747727
36_1,0.654950
6_1,0.470127
DJI_0143_1,0.013228
new2_train,-0.100343
new37_train-new,0.073247
wg2022_ir_011_split_03,0.674127
wg2022_ir_015_split_01,0.198682
wg2022_ir_020_split_05,0.998667
wg2022_ir_024_split_03,0.583786
wg2022_ir_024_split_06,0.393189
wg2022_ir_040_split_05,0.565925
wg2022_ir_045_split_02,-0.200000
wg2022_ir_047_split_04,0.839657
